DAY,MONTH,MONTH_ID,YEAR,CAUSE,GROSS INCURRED AMOUNT
 18 ,April,4,1999,ACCIDENTAL DAMAGE,£344
 18 ,April,4,1999,ACCIDENTAL DAMAGE,£177
 18 ,April,4,1999,THEFT,£435
 19 ,April,4,1999,THEFT,£235
 19 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 19 ,April,4,1999,ESCAPE OF WATER,£305
 19 ,April,4,1999,ACCIDENTAL DAMAGE,£490
 19 ,April,4,1999,ESCAPE OF WATER,£804
 19 ,April,4,1999,THEFT,"£1,085"
 19 ,April,4,1999,WINDSTORM,£485
 19 ,April,4,1999,ESCAPE OF WATER,£310
 19 ,April,4,1999,THEFT,£119
 19 ,April,4,1999,ACCIDENTAL DAMAGE,£570
 19 ,April,4,1999,WINDSTORM,£95
 19 ,April,4,1999,ACCIDENTAL DAMAGE,£354
 20 ,April,4,1999,ACCIDENTAL DAMAGE,£349
 20 ,April,4,1999,FIRE,"£1,812"
 20 ,April,4,1999,WINDSTORM,"£1,495"
 20 ,April,4,1999,ESCAPE OF WATER,£235
 20 ,April,4,1999,ESCAPE OF WATER,£247
 21 ,April,4,1999,ESCAPE OF WATER,£176
 21 ,April,4,1999,WINDSTORM,£740
 21 ,April,4,1999,ACCIDENTAL DAMAGE,£498
 21 ,April,4,1999,ESCAPE OF WATER,£0
 21 ,April,4,1999,ESCAPE OF WATER,£173
 21 ,April,4,1999,WINDSTORM,"£9,251"
 21 ,April,4,1999,WINDSTORM,£0
 21 ,April,4,1999,ACCIDENTAL DAMAGE,£94
 22 ,April,4,1999,ESCAPE OF WATER,£611
 22 ,April,4,1999,ACCIDENTAL DAMAGE,£665
 23 ,April,4,1999,THEFT,£181
 23 ,April,4,1999,ACCIDENTAL DAMAGE,£203
 23 ,April,4,1999,ESCAPE OF WATER,£285
 23 ,April,4,1999,FLOOD          ,"£3,155"
 23 ,April,4,1999,ESCAPE OF WATER,£460
 23 ,April,4,1999,ESCAPE OF WATER,£385
 23 ,April,4,1999,ESCAPE OF WATER,£210
 24 ,April,4,1999,ESCAPE OF WATER,£205
 24 ,April,4,1999,THEFT,£0
 24 ,April,4,1999,ACCIDENTAL DAMAGE,"£1,349"
 24 ,April,4,1999,THEFT,£563
 24 ,April,4,1999,ESCAPE OF WATER,£520
 25 ,April,4,1999,ACCIDENTAL DAMAGE,£261
 25 ,April,4,1999,THEFT,£150
 25 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 25 ,April,4,1999,ACCIDENTAL DAMAGE,£59
 25 ,April,4,1999,ESCAPE OF WATER,£210
 26 ,April,4,1999,ESCAPE OF WATER,£0
 26 ,April,4,1999,ACCIDENTAL DAMAGE,£318
 26 ,April,4,1999,ACCIDENTAL DAMAGE,£541
 26 ,April,4,1999,FIRE,"£4,024"
 26 ,April,4,1999,FIRE,£925
 26 ,April,4,1999,THEFT,£603
 26 ,April,4,1999,ESCAPE OF WATER,£737
 27 ,April,4,1999,FIRE,£133
 27 ,April,4,1999,ESCAPE OF WATER,£0
 27 ,April,4,1999,ESCAPE OF WATER,£320
 27 ,April,4,1999,THEFT,£504
 28 ,April,4,1999,THEFT,£263
 28 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 28 ,April,4,1999,FIRE,"£5,120"
 28 ,April,4,1999,ACCIDENTAL DAMAGE,£81
 29 ,April,4,1999,FIRE,£250
 29 ,April,4,1999,THEFT,£710
 29 ,April,4,1999,THEFT,£760
 29 ,April,4,1999,THEFT,£598
 29 ,April,4,1999,ESCAPE OF WATER,£311
 30 ,April,4,1999,ACCIDENTAL DAMAGE,£426
 30 ,April,4,1999,SUBSIDENCE     ,"£1,144"
 30 ,April,4,1999,ESCAPE OF WATER,£200
 30 ,April,4,1999,ACCIDENTAL DAMAGE,£265
 30 ,April,4,1999,ACCIDENTAL DAMAGE,£0
 30 ,April,4,1999,ESCAPE OF WATER,£554
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£130
 1 ,May,5,1999,ESCAPE OF WATER,£785
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£250
 1 ,May,5,1999,ESCAPE OF WATER,"£1,410"
 1 ,May,5,1999,ESCAPE OF WATER,£600
 1 ,May,5,1999,SUBSIDENCE     ,£914
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£96
 1 ,May,5,1999,THEFT,£387
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£339
 1 ,May,5,1999,WINDSTORM,£233
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 1 ,May,5,1999,ACCIDENTAL DAMAGE,"£1,419"
 1 ,May,5,1999,ACCIDENTAL DAMAGE,£0
 1 ,May,5,1999,SUBSIDENCE     ,£0
 1 ,May,5,1999,WINDSTORM,£0
 1 ,May,5,1999,WINDSTORM,£0
 2 ,May,5,1999,ACCIDENTAL DAMAGE,£200
